INSCRI2	INSCRI	ANO	PRESF1	B1	B2	Q1	Q2	G1	G2	F1	F2	H1	H2	M1	M2	Q13	RED	FASE1	REDCORR	ENEM2
20001007207	1007207	2000	1	0	0			1	2						1	4	11.5	31.6	-1	0
20001007214	1007214	2000	1		0	1		1	3			0	0			5	8.5	25.4	-1	45,71
20001007221	1007221	2000	1	0	0	1	0	1	3			0	0		0	5	10	29	-1	0
20001007238	1007238	2000	1	2	1	1	0	1	1	0		0	1	0	2	9	12.5	39	-1	0
20001007245	1007245	2000	1	0					0							0	11	0	-1	0
20001007252	1007252	2000	0														0	0	-1	0
20001007269	1007269	2000	1		0	1	0	2	3			3			1	10	16.5	49.6	-1	0
20001007276	1007276	2000	0														0	0	-1	0
20001007283	1007283	2000	1	0	1		0	0	0			0				1	11	27.4	-1	0
20001007290	1007290	2000	1		0	0		1	0				0		0	1	11	27.4	-1	0
20001007306	1007306	2000	1		0			3	3		1	3	0	5	2	17	12.5	47	-1	0
20001007313	1007313	2000	1	1	1	1	0	1	1	0		1	0	0	2	8	10	32	-1	0
20001007320	1007320	2000	1		1				3			0		0	2	6	12.5	36	-1	74,29
20001007337	1007337	2000	1	0	0	1	0	2	2		2	0	0		1	8	13.5	40.4	-1	0
20001007344	1007344	2000	1	0	1	1	0	1	1	0	0	3	3	0	1	11	9.5	33.8	-1	0
20001007351	1007351	2000	0														0	0	-1	0
20001007368	1007368	2000	1	1	1	1	0	4	2	0	0	5	2	0	2	18	13	49.2	-1	0
20001007375	1007375	2000	1	4	1	5	3	2	4	3		5	1		4	32	12.5	62	-1	85,71
