INSCRI	PRE_PORT	PORT1	PORT2	PORT3	PORT4	PORT5	PORT6	PORT7	PORT8	PORT9	PORT10	PORT11	PORT12	PORT13	PRE_BIOL	BIOL1	BIOL2	BIOL3	BIOL4	BIOL5	BIOL6	BIOL7	BIOL8	BIOL9	BIOL10	BIOL11	BIOL12	BIOL13	PRE_QUIM	QUIM1	QUIM2	QUIM3	QUIM4	QUIM5	QUIM6	QUIM7	QUIM8	QUIM9	QUIM10	QUIM11	QUIM12	QUIM13	PRE_HIST	HIST1	HIST2	HIST3	HIST4	HIST5	HIST6	HIST7	HIST8	HIST9	HIST10	HIST11	HIST12	HIST13	PRE_FISI	FISI1	FISI2	FISI3	FISI4	FISI5	FISI6	FISI7	FISI8	FISI9	FISI10	FISI11	FISI12	FISI13	PRE_GEOG	GEOG1	GEOG2	GEOG3	GEOG4	GEOG5	GEOG6	GEOG7	GEOG8	GEOG9	GEOG10	GEOG11	GEOG12	GEOG13	PRE_MATE	MATE1	MATE2	MATE3	MATE4	MATE5	MATE6	MATE7	MATE8	MATE9	MATE10	MATE11	MATE12	MATE13	PRE_LEST	LEST1	LEST2	LEST3	LEST4	LEST5	LEST6	LEST7	LEST8	LEST9	LEST10	LEST11	LEST12	LEST13	PRE_APTD	APTD	AREA	CURSO	GRUPO
1024163	P	3	3	2	2	3	3	3	0	0	0	0	3	22	P	4.5	3.5	1		2.5	4	0	1.5	1	0	1	5	24	P	0	0	0	3.5	0	1		0	1		0	0	5.5	P	5	0.5	4	3	2.5	3	1	3		1	2		25	P	3		1	0	1	0							5	P	3	0	3.5	3	3	2	2.5		0.5	0	1	0.5	19	P	3	3	1	3	2	2	0	0	1	0	0	0	15	P	0	0	4	4	4	2	2	1	1.5	0	0	3.5	22	P	0	1	2	141
1034201	P	1	3		3	4	3.5					0	1	15.5	P	0	0	1		1		0			0	0	0	2	P	0	0		0	0	0		3	1				4	P	2	1	4	0	2	5	1	2	0.5	0	2		19.5	P	0		0	0	0		0					0	0	P	1	1	2	1	4	2.5	2.5	0	1	0	0	0	15	P	3	0	0	5					0				8	P	3	3	3	0.5	2	1.5	2	3	2	5		5	30	P	0	1	2	141
1032793	P	3.5	3	1	3.5	0.5	4				2		2	19.5	P	0.5	1	1	0	0	2.5					0	0	5	P	0		0	0	0	1		3	1				5	P	4	1	3	0	4	1	3						16	P		0	0	0	0		0	0	1			0	1	P		5	4	0	4	4	4	1		2		3.5	27.5	P		0			1				1				2	P	4.5		0.5		3			3	4.5	0		5	20.5	P	0	1	2	141
1001766	P	3	4	5	4	2	5	4.5	0	2.5	0	0	1.5	31.5	P	5	2	3	0	3	2	4	2	2	2	5	1	31	P	0	0	2	2	2	4	3	3	1	1	4	3	25	P	5	1	4	0.5	3	3	2	2	2	2	0	3.5	28	P	5	3	3	3	2	4.5	5	3	4	0	1	1	34.5	P	3	3.5	4	2.5	4	3	4	2	3	1	3	2	35	P	5	1	1	3	2	5	1	5	3	1	2	0	29	P	3	2.5	4.5	0	1.5	0	3	3	1.5	3.5	0	4	26.5	P	0	1	2	141
1021812	A													0	A													0	A													0	A													0	A										0			0	A													0	A													0	A													0	P	0	1	2	141
1001612	P	4	2	1	2	3	2						2.5	16.5	P	0.5												0.5	P	0	1		2	2	1		3	1		1		11	P	1.5	1	0	0	0	3	0	2		0	0		7.5	P	3		0				0	0	0				3	P	1	0	3	3	3	2	2		2	0		1	17	P	5	0		2			0		1	0.5			8.5	P				1			2					0	3	P	0	1	2	141
1013961	P	2	3	3	4.5	1	2	1		0.5	2	0	2	21	P	1	1	0		1	3.5	0	0	0	0	1	1	8.5	P	0	0	1	2	3	1.5	1	0	1	0.5	0	1	11	P	1	0.5	3	3.5	1	3	2	2.5		1.5	1	1	20	P	5		0		1	0		0	0	0	0		6	P	3	0	1	1	3	2	3.5	1	1.5	0	0	2.5	18.5	P	0	5	0	5	2	1	0		1	0	0		14	P	0	0	0	2	0.5	0	1	2		0	0	0	5.5	P	0	1	2	141
1033208	P	5	3	5	3.5	2	3		0	1		1	2	25.5	P	4	1	3	0	3	4	0		1	1	1	1	19	P		0	0	4	2	3	0	0	1	1	0.5	1	12.5	P	5	0	3.5	3	3.5	2	1	3		2.5	1.5		25	P	5	5	3	3	1	4	2	2			2		27	P	3	0	3	2	1	3	2	2	2.5	1	1	2	22.5	P	4.5	5	1.5	4	1	5	1	2	3	1	2		30	P	3	5	2	2	4.5	2	1	5	4	5	5	5	43.5	P	0	1	2	141
1013879	P	0	0	2.5	3	1	2	2	0	1	0	1	1	13.5	P	3	2.5	3	0	0	3	0	0	4	0	1	0	16.5	P	0	0	0	2	0	2	0	3	1	0	0	1	9	P	5	1	2	3	4	3	1	2	3.5	0	2	0	26.5	P	0	0	0	1	0.5	0	0	2	3	0	0	0	6.5	P	2	3	4	0	4	2	4	1	2	1	0	0	23	P	5	1	0	2	2	2	0	0	1	0	0.5	0	13.5	P	0	0	0	1	0.5	0.5	0	1	0	0	0	0	3	P	0	1	2	141
1002196	P	3	3	4	2.5	1	2	1	2.5	2	0		1	22	P	1.5	2	2		3	2.5		0		0	1	1	13	P	0	1	0	2	0	1.5	0	0			0		4.5	P	5		4	0.5	2.5	3	1	2	1.5	2	1	3.5	26	P	1	0	0										1	P	4	2	3	4.5	5	4	4	1.5	2	1	1.5	2	34.5	P	5	1	0	5	1	1	0		1	0	0		14	P	0	0	0	0.5	0.5	0	0	5	1.5	0		0	7.5	P	0	1	2	141
1024446	P	4	3	4	2.5	4	2	4	1	3	2		3	32.5	P	3	1	3	0	2	3	0	1	0		1	2	16	P	0	1	0.5	3	2	2	3	0	0	0	1	1	13.5	P	2	2	5	2	5	3	2	2		2	2	0	27	P	0		2	1	0		1	2	0	0	0	0	6	P	2	2.5	4	3	4	4	3.5	2.5	2	0	0.5	3	31	P	5	1	0	1		1	0	0	1	0		0	9	P	3	4.5	0	3	3	2.5	2	3.5	2.5	5	0	3.5	32.5	P	0	1	2	141
1030919	P	2	4	2.5	4	0	4						3	19.5	P	3	0	2		2	3		0	0	0	0	4	14	P	0	0	0	3	0	3	0	0	0	1	0.5	1	8.5	P	0	0	2.5	0	3.5	0.5	2	2.5	0	1	1	0	13	P	4	0	1	0			0	3	0			0	8	P	4	0	2.5	4	2	3	1	1.5	2	0	0	2.5	22.5	P	0	0		2	2	1	0	0	1		0	0	6	P	5	3	5	4	0	0	2	1	2.5	0	0	4	26.5	P	0	1	2	141
1032564	P	2.5	4	3	2	3	4	0	0	1	0	0	3	22.5	P	2.5	2	2	0	1.5	1	1	0	2	2	1	2	17	P	1	1	0	1	2	3	0	3	1	1	1.5	1	15.5	P	2	0	4	0	2	4	2	3	0	2	0	2	21	P	3	0	1.5	3.5	1	0	0	0	1	0	0	0	10	P	1	0	4	0	3	2	2.5	1	0	0	2	2	17.5	P	5	4	0	5	2	3	0	0	1	0	2	0	22	P	1	4.5	2	4	1	0	2	3	2.5	5	5	4	34	P	0	1	2	141
1004857	P	2	3.5	4	2	3	4	4		2	4		3	31.5	P	2	2.5	2		1	4	0		0	0	1	1	13.5	P		1	0	1	3	3		0	1	0	1	1	11	P	3	0	3.5	0	3	2	2	3	0	2		3	21.5	P	3	0	3	0.5	0	0	0	0	0		0	0	6.5	P	1.5	1.5	4	1	5	4	4	2	1.5		1.5	2	28	P	3	0	3	2		2			1	3	0		14	P	3	3.5	4.5	3.5	2.5	1	1.5	5	1	3	0	4	32.5	P	0	1	2	141
1028530	A													0	A													0	A													0	A													0	A													0	A													0	A													0	A											0		0	P	0	1	2	141
1019822	P	1	3	0	5	1	2			1.5			1.5	15	P	5	1	2		3	1			3	2	1		18	P	0	0	0	2	0	4	0	3	0	0	0	0	9	P	2	3	4	1.5	4	3	3	1.5	0	0	0	0	22	P	3		1				5	0	2			0	11	P	5	4	5	4.5	5	3	3.5	2	3	2.5	4.5	2.5	44.5	P	5	0	0	0	2	0			1			0	8	P	5	5	5	4	2.5	5	5	5	5	5	4.5	5	56	P	0	1	2	141
1028158	P	2	2	2	4	1	3	4	3.5	1	4	3.5	2.5	32.5	P	0	0	2.5	0	3	1.5	0	0	0	0	0	1	8	P	0		0	0	0	2	1	3	1		0	0	7	P	1	1	0.5	0	2	3	1	0.5	0	0	1.5	0	10.5	P	2	0	0.5		0	0	0	3	2				7.5	P	3.5	1	3	1.5	1	1	3	1	1	0	2	0	18	P	0.5	0		4	2	1			1	0	0	0	8.5	P	0	0	3	4	0	0	1	0	0	5	0	4	17	P	0	1	2	141
1033291	A													0	A													0	A													0	A													0	A										0			0	A													0	A													0	A									0				0	P	0	1	2	141
1008330	A													0	A													0	A													0	A													0	A										0			0	A													0	A													0	A									0				0	P	0	1	2	141
1034218	P	2	3	5	2.5	3	2	0		1			1	19.5	P	1	1	1	0	3	2	0	0.5	0	0	1	1	10.5	P	0	0		1	0	1	1	0	1	0	0		4	P	0.5	0.5	0	3	2.5	2	1.5	4.5	1	0.5	1.5	2.5	20	P	0	0	0	3		0						2	5	P	2	1	3	2.5	4	2	3.5	1.5	2	0	1	0	22.5	P	5			0					1	0		0	6	P	2	0	2	4	2.5	0	1	1.5	0	0			13	P	0	1	2	141
1033338	P	4	5	4.5	5	4	4			3	0	1	2	32.5	P	3.5	3	2		1	2	2	1	1	0	1	3	19.5	P	0	1	0	2	4	1	0	0	1	0	1	2	12	P	3	0	1	2.5	3.5	4	3	3	0	1.5	2	3.5	27	P	5	5	1	5	0	0	5	3	2	1.5		0	27.5	P	2.5	4	5	4	2.5	3	2.5	3.5	4	3.5	3.5	3.5	41.5	P	5	5	3	5	2	5			3	3		0	31	P	2.5	0	4	5	3	0	5	4.5	4	5	5	5	43	P	0	1	2	141
1031592	P	2	3.5	4	3	4	4	0	0	1.5			0	22	P	1.5	3	3	0	2	4	1.5	1	1	0	2	2	21	P	0	0	1	1	1	4.5	0	0	0	4	3	2	16.5	P	3	1	4	0.5	0	0	0	1.5	0	0	1.5	1	12.5	P	3	4.5	0	1	0.5	0	0	0.5	0	0	0.5	0	10	P	1.5	0	3	1	3	3	3	1.5	0	1	1.5	2	20.5	P	5	4	1	1.5	2	0		0	1		0	0	14.5	P	5	5	3.5	1.5	5	1.5	5	3	1	5	4	5	44.5	P	0	1	2	141
1022488	P	4	3	1	3.5	2	2			0			4	19.5	P	3.5	1	2		2	1			3	3	1	2	18.5	P		0	0	0	2	0		0			1	0	3	P	0.5	3	4	0	3.5	3	0.5	2.5		1	1	0	19	P	0		0		0		0	0	0				0	P	3.5	3	1	2	3	1	4	2	2	2	1	3.5	28	P		0	2	0		0			1	1			4	P	3	5	5	4	4.5		5	4.5	4	5	5	4	49	P	0	1	2	141
1001315	P	2.5	4	1	1	2	5	0				1	0.5	17	P	0.5	1	1		2.5	1.5		1			1	1	9.5	P		2		2		5	0	0	0	1		0	10	P	3	1	2.5	0.5	3	4	2			0.5		3	19.5	P	3	3			0.5	0							6.5	P		2	2	2	4	3	2	2	2		1.5	1.5	22	P	5	0		4					1				10	P	3.5	5	5	5	5	1.5	3.5	5	1.5	5	5	3	48	P	0	1	2	141
1002271	P	3	3	2	3	2	4	4		1	2		2	26	P	5	3	2	0.5	2	3	3	1.5	2	0	2	5	29	P	3	4	0	5	2.5	5	2	3	4	1	2	0	31.5	P	0	1	4	2	4	4	3	1	1		2	3	25	P	4	2	1	4	2		3.5	3	2	0	0	3	24.5	P	3.5	1	3	4	5	3	3	2	1.5	2	3	3	34	P	5	5	5	5	2	3	0		3			0	28	P	1	5	2	4	2	1	1	5	1.5	5	0	1	28.5	P	0	1	2	141
1034454	P	5	3	1	3	4	4	2.5	2	2	3	0	2.5	32	P	4	2			2	3	0		0	2	2	4	19	P	2	0	0	2	2	1	1	3	0	2	1	0	14	P	4	1	4	2.5	4	2	3	0	1	0	0	3.5	25	P	4.5	0	1	1.5	2	1	3	3	2	0		2	20	P	3	3	4	2	4	3.5	3	2	1	1	0.5	2	29	P	5	5	2	5	2	5	0	1	1	0	2	0	28	P	3	5	2	4	5	2	2	5	4	5	2	1	40	P	0	1	2	141
1033352	P	4	0	1.5	3	2	1.5	0			2		2	16	P	2	1	2	0	0	2	0		0	0	0.5	1	8.5	P	0	0	0	1	0	1	0	0	0		0	0	2	P	1	0	2	1.5	1.5	2.5	1	1.5		1.5	0	1.5	14	P	1		0	1									2	P	1	0	3	0	2	2	1.5	1.5	2	0		0	13	A													0	A													0	P	0	1	2	141
1003427	P	4.5	2	4.5	4	2	2.5	0		0	2	0	2	23.5	P	0.5	1	2	0	1	0.5	0	0	0	0	1		6	P	0	0	2	2	0	2	0	3	1	0	0	1	11	P	2.5	0	2	4	3	3	1	0.5	1	4	2	3.5	26.5	P	3	0	0	1	0	0	0	2	1	0	0	0	7	P	3.5	0	1	0	4	2	1	1	2	0	2	3	19.5	P	5	1	0	4	2	0	0	0	1	0	2	0	15	P	4	0	2	3.5	2	0	2.5	0.5	0	0	0	1	15.5	P	0	1	2	141
1034096	P	3.5	3	0.5	4	4	2						2.5	19.5	P	1	3	3		2	1	1			1			12	P	0	0	1	2	0	2.5		0			0		5.5	P			3	1	3	1	2			1			11	P	4	1	0		0							0	5	P	4	2	3	0	4	2	1		0.5	0		3.5	20	P				5						0			5	P	1	4.5	5	5	2.5	3	4.5	5	4	3	0	5	42.5	P	0	1	2	141
1032205	P	4.5	4	3	2	3	3	3.5		1	2	0	1	27	P	2	1	3	0	1	2	1		3	1	0	2	16	P	2	1	0	3	0	2	0.5	0	1	0	1	1	11.5	P	2	2	1	0	3	4	2			0	0		14	P	2	0	2.5	1	2	0	0	3	0		0	0	10.5	P	1.5	0	3.5	3	3.5	3	3	1	0	0	0.5	0	19	P	5	1	2	2	2	0	1	0	1	0	0	0	14	P	0	4	4	2	0.5	0	0	1	1	5			17.5	P	0	1	2	141
1017611	P	5	5	5	4	4	4	1			2		3	33	P	4.5	3	3	0	2.5	3	0	1	2	1	3	2.5	25.5	P	0	1	1	3	2	2	0	0	1	1	3	0	14	P	5	3	5	4	3	3	1	4	2.5	1	0	3.5	35	P	5	5	3	3	2	0	0	0	1.5	0	0		19.5	P	4	4.5	4	2.5	4	4	2.5	2	0.5	3	2	4.5	37.5	P	5	5	1	5	2	5	0	2	1	1		0	27	P	3	5	3.5	5	5	2	0.5	4.5	4	3	5	5	45.5	P	0	1	2	141
1016540	P	3	2	3.5	3	1		1	3	2			1	19.5	P	2	1	2		0	1	0		0	0	1	3	10	P	2	0	0	2	1	4	4	3	1	1	0	0	18	P	1	1.5	0	0	1.5	3	1	1.5		2.5			12	P	5	2	1.5	3	2	0	0	3	3	0	1	0	20.5	P	3	0	4	1	3	2	3		1.5	0.5	0.5	2	20.5	P	0	5	3	4	2	3	1	0	1	1	2	0	22	P	0	4	2.5	2.5	1	0		0	1.5	0		1	12.5	P	0	1	2	141
1017635	P	5	0.5	4	5	1.5	3	4	0	1	2	1	2	29	P	1.5	2	2	0	2	1.5	1.5	0	1	0	1	0.5	13	P	0	0	0	2	0	2	0	0	0	0	0	1	5	P	2	3	1	1	2	2	2	0	1	1	0	3	18	P	3	0	1		2	0	0	0		0	0	0	6	P	3	1	3	0	1	3	4	2	1	1	2	3	24	P	5	0		4	1	2	3		1	0	0	0	16	P	2	0	1.5	1.5		0	1	0	0	5	0	0	11	P	0	1	2	141
1016601	P	4	2		2	4	2	1		0			1	16	P	3	0	1	0	0	1.5	0		3	0	0		8.5	P	0	0	0	1	0	1		3	1	0	0	1	7	P		0.5	0	0	3	2	0	1	0		1	1	8.5	P	3.5	0	0	1	0	0	3	0	0				7.5	P	3	1.5	4	0	1.5		3			0		0	13	P	0	3		4	2	2	0	0	1	1	0	0	13	P	1	0	2	4	5	0	0	5	1.5	0	0	0	18.5	P	0	1	2	141
1010153	P	3	2	1	1	1.5	1.5	0		0			0	10	P	1	0	3	0	0	2	1	0	1	0	1	2	11	P	0	0	0	0	0	1	0	0	0	0	0	0.5	1.5	P	2	0	2.5	0	0	2.5	0	1		1	2.5	0	11.5	P	2.5	0	0	2.5	0	0	0	1	0	0	0	0	6	P	1	1	4	3.5	3	3	2	1	0	1	1	2	22.5	P	3	1	0	2	2	1	0	0	1	0			10	P	4.5	5	4	0	4	1	4.5	5	3	3.5	0	0	34.5	P	0	1	2	141
1027698	P	3	2	1	3	1	3	1	0	0		0	2	16	P	1	1	3	0	2	1	0	0	0	0	0	0	8	P	0	0	0	2	0	1		3	0	0	0		6	P	2	2	1	0	3	4	1	3	0	1	1	1	19	P													0	P	0.5	0	3	1	4	0	2	1		0		0	11.5	P	3		1.5	4					0				8.5	P	3	0	3	0	1.5	2.5	2	3	3	5	0	1	24	P	0	1	2	141
1025241	P	3	3	2	3.5	1	4						1.5	18	P	2.5	1		0		2			0		0		5.5	P	0	0		2	2	2		0		0			6	P			2		2	3	0			1	1	0	9	P	3	2	0		0								5	P	3	2	4.5	2	4	3	2					1	21.5	P	5	3	1	2	2		1	0	1	0			15	P	5	4	2	4	4	2	5	5	4	3	5	5	48	P	0	1	2	141
1024484	P	2	3	1	5	2	4	2.5	0	1	4	0	4	28.5	P	5	2	5	0	4	4.5	4	3	3.5	3	1	5	40	P	2	1	3	2	3	4	1	3	1	3	1	1	25	P	5	1	4	3	5	2	2	3	0.5	1	3	1.5	31	P	5	3	3	5	0	2	5	3	2	2	1	0	31	P	4	3	4	2	4	4.5	3	2	2	2	4	2	36.5	P	5	5	5	4	2	5	1	4	1	1	0	1	34	P	5	5	5	5	5	0.5	5	5	4	5	5	3.5	53	P	0	1	2	141
1024736	P	1.5	2	2.5	2	3	4	0		1	2	0	2	20	P	1.5	0	1		2	1	0	0	0	0	0	0	5.5	P	0	0	1	0	0	1.5	0	3	1	0	0	0	6.5	P	1	0	1	1.5	3	3	0	2.5	1	0	0	1	14	P	0	0	0	0	0	0	0	0	2	0	0	0	2	P	4	2	2	0	2	2	3	1	1.5	0	0	0	17.5	P	0	0	0	2	0	0	0	0	1	0	0	0	3	P	1	0	0	2	2.5	0	2	3	3	3	3.5	2	22	P	0	1	2	141
1032540	P	1	2	2	3	0.5	2	3.5	0	0.5	2	0.5	1	18	P	3.5	2	2		0	1.5			1		1		11	P		0	0	0.5	1	1	0	3	0	0	0	0	5.5	P			2		3	1	1	3.5		1		2.5	14	P	3	0	0	2	0.5	0	0	0	2	0		0	7.5	P			2	2	4	3	2			1	0.5	1.5	16	P	5	1	0.5	2	0	0	0	0	0	0	0	0	8.5	P	5	0	1.5	0	3.5	0	0.5	2	3	5	0	5	25.5	P	0	1	2	141
1028806	P	3.5	2	3.5	2.5	3	3	5	0	2	4.5	1	3	33	P	2	2	2		2	1.5	0	0	1	0	1	2	13.5	P	0	0	0	0	2	2	0	2	0	0	0		6	P	1.5	1	4	2	2.5	1	1	0	0	1.5	1.5	1	17	P	3	0	1	3	0.5	2	1	0		0	0	0	10.5	P	4.5	0	3	2.5	2	2	2	1	2.5	0	0	0	19.5	P	3	3	0	2	0	1	0	0	0	0	0	0	9	P	1		0	2.5	1.5		2	5	1	0			13	P	0	1	2	141
1021478	P	3	4	3	3	3	2	3	3.5	3	2	0.5	2.5	32.5	P	0	1	2		1	3.5			1		1		9.5	P	0	0	0	1	0	2		3	1	0	0		7	P	3	3	3	0	3	5	1	4		1	3		26	P	3	0	0		0	0		0	0	0	0		3	P	3.5	2.5	4	2	2	2	4			1		1	22	P	3	0	1	2		0			1	0	0		7	P	5	0		4	2	2	2	2	0	5	0		22	P	0	1	2	141
1034157	A													0	A													0	A													0	A													0	A													0	A													0	A													0	A													0	P	0	1	2	141
1001636	P	3.5	2	4	2	4	3.5	2	0	0	0	1	2	24	P	4.5	1	1	0	2	2	0	3	1	3	1	1	19.5	P	2	1.5	2	2	2	5	3	0		5	4	1	27.5	P	3.5	1	3	1.5	3	5	1	1	1	1	0		21	P	5	5	2	5	1	5	5	3	5	2	4	3	45	P	2	2	4	0	3	2.5	3.5	1	2	1	1	1.5	23.5	P	5	3	5	5	2	5	3	5	5	1	5	0	44	P	0	3	0	4	3	0	0	0	0	0	0	0	10	P	0	1	2	141
1025692	P	2	2	2.5	3.5	5	3	1		0	2	1	2.5	24.5	P	2.5	2	4		1.5	1	3	1	0	0	1	3	19	P	0	0	0	1	0	0	0	3	1	0	1	0	6	P	2	1	3	3	5	3	1	3	0	0	3.5	2.5	27	P	2	0	0	3	1.5	0	0	0			0.5		7	P	2.5	0	3.5	1.5	3	2.5	1.5	1.5	2.5	2	0.5	1.5	22.5	P		1	1	2	2	1	0	0	1	0	0	0	8	P	0	0	0	4	0	2	2	3	1	3	0	1	16	P	0	1	2	141
1016830	P	3	1	1	4	0.5	1	1		1		0	1	13.5	P	1.5	3	2	0	0.5	1.5	0	0	1	0	1	4	14.5	P	0		0	4.5	0	0	1	0	1	0	0.5	0	7	P	1	0	0.5	1	1	0	2	3	0	1	0	1	10.5	P	3	0	0	2	0	0	0	0	0			2	7	P	2	0	2.5	2	3	1	2	1	3	0	0.5	1	18	P	0	3		5	2	1	0		1	0	2		14	P	1	0	0.5	1.5	1	0	0	3	1	0			8	P	0	1	2	141
1002523	P	2	2.5	1.5	4	1	3	1	3		0	0	3.5	21.5	P	3.5	2	0		3	2	0	1	1.5	1	0.5	1	15.5	P	0	0	0	1	1	1		5	1	0	1	1	11	P	2.5	1	5	0.5	2	2	3	3	0.5	1	0.5	3.5	24.5	P	2	3	1	4	2	0	0	2	5	0	2	1	22	P	2.5	4	4.5	4	5	2	3	2.5	3	1	0	3	34.5	P	5	5	0	5	2	5	0	0	0	1	0	0	23	P	0	4	2	1	2.5	0	2.5	5	1	5	0	4.5	27.5	P	0	1	2	141
1041098	P	3	0	4	2.5	0	2	0	0	0	2	0	0	13.5	P	1	2	0	0	1	0	0	0	0	0	0	0	4	P	0	0	0	1	0	0	0	3	0	0	0	0	4	P	1	1	3.5	0	1	3	1	0	0	0	0	1	11.5	P	3.5	0	0	1	0	0	0	0	2	0	0	0	6.5	P	2	2.5	2	2.5	4	3	3	2	0.5	0	0	0	21.5	P	0	0	0	0	2	0	0	0	1	0	0	0	3	P	0	0	0	0	0	0	0	0	0	0	0	0	0	P	0	1	2	141
1054609	P	2	2.5	4	3	3	3	2					2.5	22	P	4	2	2		1	1		0	0	0	1	3	14	P	1	0	0	1	0	0	3	0	1	0	0		6	P	2	1	3	3	3.5	5	2	1	1	1	3	3.5	29	P	3	0	0.5	0	0	0	1	0					4.5	P	3	3	4	3.5	5	4	2	2	2	1	2	2	33.5	P	5	1	0	4	0	0	0	0	1	0	0		11	P	2	5	5	0.5	4.5	1	2	5	4	5	5	4	43	P	0	1	2	141
1040019	P	5	3	3	2	3	3			3.5	2	0	0	24.5	P	1.5	0	2	0	2	2	0		0	0	1	0	8.5	P	0	0	0	1	0	1	0	3	1		1	1	8	P	2	0.5		0	3	2.5	2	0.5	0.5	1	0	0	12	P	3	0	1		0	0	0	0	2	0		0	6	P	3	1.5	3	0	1	1	1	2	1.5	0	0	1	15	P		5		2	2	3	0		1		2	0	15	P	0	0	0	2	0	0	0	5	0	0	0	4	11	P	0	1	2	141
1055114	P	1	2.5	4	4	3	2.5	0		1	2	0	4	24	P	3.5	3	3	5	1	3.5	0	0	1	3	1	3	27	P	0	1	0	1	0	2	1	0	1	1	0	1	8	P	2	2	4	2	3.5	4	0.5	0	0	0.5	0	3.5	22	P	5	2	0	2	0		2	2	2	2		0	17	P	2.5	1	4	4	4	2	4.5	1.5	3	1	1	2	30.5	P	5	5	1	5	2	3	2		1	1	0		25	P	5	0	4	4	2	2.5	1.5	3.5	5	3.5	0	4.5	35.5	P	0	1	2	141
1057035	P	1	3	3	3	4	3						3	20	P	4	1	2	0	2	4.5	0	0	0	0	1	0.5	15	P		1		1	2	2		3	1		0		10	P	3	1	4	0	3.5	4	0	2.5	1	2	1.5	3	25.5	P	5	2						0					7	P	3.5	0	3	3	4	3	4	1	3.5	0	3.5	2	30.5	P	3	5		2	2		1		1				14	P	0	0	4	0	1	0	2	2.5	1.5	3	0	3	17	P	0	1	2	141
1044691	P	2		2	2.5	4	2			1				13.5	P	1.5	1	3	0	0	1	0		0	0	0	3	9.5	P		1	0	2	2	5		0	1		0	2	13	P	2	1	1	2	1	3.5	0.5	1		1	1		14	P	1.5		0				0	2					3.5	P	3		3	3	4	2	3	1	2	0		0.5	21.5	P			0.5	2			0		1				3.5	P	3	2	0	5	1	1	1	2	0	4	0	4	23	P	0	1	2	141
1036252	P	3	3	1	3	3	2	0	0	2		0	3	20	P	2.5	1	2	0	2	2.5	0	1	1	3	2.5	3	20.5	P	0	0	0	1	0	2	0	0	0	0	0	0	3	P	2	1	3	3	1.5	4.5	3	0.5		1	0	3.5	23	P	3.5	0	1	0	0		2	3	2	0	0	0	11.5	P	3	3.5	2	5	4.5	3	2	1	2	2.5	4	3	35.5	P	0	0	0	2	2	3	0	0	1	0	0	0	8	P	5	0	4	4	2.5	0	2	5	3.5	5	0	5	36	P	0	1	2	141
1037149	P	1	4	2	2.5	3	3	1.5	0	0	0	0	2	19	P	5	3	2	1	2	3.5	3	1.5	2	0	1	3	27	P	0	2	3	2	1	1	0	0	1	0.5	1	0	11.5	P	2	0	4	0	2	1	0	1.5	0	0	0	0	10.5	P	3	3	2.5	1.5	1	0		3	5				19	P	3	2.5	4	3.5	5	2	3	2	2	1	3	2	33	P	5	5	0	4	2	3	0	0	1	1	2	0	23	P	3	0	3	2	1.5	0	2	2	0.5	5	0	4	23	P	0	1	2	141
1059819	P	0	2	1	3	3						0	0	9	P	2.5	1	0	0	1	3.5	0		0	0	1	0	9	P	0	0	0	1	0	0	0	3	1	0	0	0	5	P	0	1	2	0.5	2	0	1	0.5	0	0.5	3	1	11.5	P	3	0	0	0.5	0	0	0	2	0	0	0	0	5.5	P	1	0	2	0	2	0	3.5	1	0	0	1	0	10.5	P	3	1	1	4	2	1	0	0	1	0	0	1	14	P	3.5	2	5	4.5	2	0	2	2.5	4	0	0	5	30.5	P	0	1	2	141
1036474	P	0	3.5	1	4	2.5	4		3	3			1	22	P	2	1	2	0	0	1.5	1		1	1	1	2.5	13	P	0	0		2	3	2		0	0	0			7	P	3	1	4.5	1	2.5	1	0	1.5		1	1.5		17	P	0	2.5	1	1	0		0	0	0	0		0	4.5	P	0.5	0	4	3.5	2	3				0		0	13	P	0			2	2	1	0	0	1	0			6	P	5	0			1			5	1	0			12	P	0	1	2	141
1061618	P	2.5	2.5	2	2.5	2	1	0	0	0	0	0	1	13.5	P	3	1	2	0	1	0.5	0		0		0		7.5	P	0	0		1	0	0	0	2	1	0	0	0	4	P	1	1	3	0		4	0	2		1	1.5	3	16.5	P	0	0	0	0	0	0	0		0			0	0	P	1.5	0	1	1	4.5	3	2.5	1	0	0	0.5	2	17	P	0	0	0	4	0	0		0	1	0			5	P	0	0	0	2.5	0	0.5	0	0	0	0	0	0	3	P	0	1	2	141
1043612	P	3.5	2	1	4	4	3	1		1	2	0	0	21.5	P	4	1	2	0	2	3.5	0	0	1	0	0	1.5	15	P	0	0	0.5	1	0	1.5	0	3	1	0	0	0	7	P	5	1	4	2.5	3.5	4	2	3	1.5	0	0.5	3	30	P	3		0	3	0	0	0				0	0	6	P	1.5	2	3.5	2.5	5	2	3	1	3	0	5	2.5	31	P	2	0	1	5		2	0		1			0	11	P	2	0	0	1	0.5	0.5	0	0	0	0	5	1	10	P	0	1	2	141
1047188	A													0	A													0	A													0	A													0	A													0	A													0	A													0	A													0	P	0	1	2	141
1038845	P	3.5	2	2	5	1	3	1		0			1	18.5	P	4	0	2			1.5	1			0	0	0.5	9	A													0	A													0	A													0	A													0	A													0	A													0	P	0	1	2	141
