INSCRI2	INSCRI	OPC1	PAAIS	ISENTOS	APROVF2	MATR	CURPAS	IDADE	SEXO	RACA	ENSFUND	ENSMED	TIPOMED	FEZCPV	TIPOCPV	OPCUNICAMP	MOTCARR	RENDA	RBRUTA	QTSVIVEM	CATPAI	CATMAE	INSTRPAI	INSTRMAE	TRABALHA	LEJORNAL
20001001834	1001834	45	-1	0	0	0	0	2	1	-1	3	2	3	1	-1	1	1	5	-1	4	3	8	8	5	1	4
20001001841	1001841	44	-1	0	1	0	0	5	1	-1	1	1	3	1	-1	5	4	5	-1	5	3	3	9	9	2	4
20001001858	1001858	46	-1	0	0	0	0	3	2	-1	1	1	3	1	-1	1	6	7	-1	5	2	3	9	9	1	4
20001001865	1001865	30	-1	0	0	0	0	4	1	-1	2	2	3	2	-1	5	1	3	-1	3	0	6	5	4	1	2
20001001872	1001872	5	-1	0	0	0	0	5	2	-1	1	1	3	1	-1	1	6	9	-1	5	2	8	9	7	1	4
20001001889	1001889	13	-1	0	1	0	0	5	2	-1	1	1	3	1	-1	7	1	8	-1	4	2	8	9	9	1	2
20001001896	1001896	41	-1	0	0	0	0	2	1	-1	1	2	1	2	-1	1	1	6	-1	4	3	8	9	8	1	2
20001001902	1001902	42	-1	0	0	0	0	4	1	-1	1	1	3	2	-1	1	7	8	-1	4	3	4	9	9	1	2
20001001919	1001919	52	-1	0	0	0	0	7	1	-1	2	4	1	1	-1	0	6	4	-1	4	3	4	3	3	1	4
20001001926	1001926	42	-1	0	0	0	0	4	1	-1	2	1	1	2	-1	1	1	4	-1	2	6	8	2	3	3	2
20001001933	1001933	34	-1	0	0	0	0	3	1	-1	1	2	1	2	-1	1	1	4	-1	4	6	4	4	9	1	4
20001001940	1001940	43	-1	0	1	1	43	3	1	-1	1	2	1	1	-1	1	6	7	-1	5	4	4	9	8	1	2
20001001957	1001957	42	-1	0	0	0	0	8	1	-1	1	1	3	1	-1	5	1	9	-1	3	2	3	9	9	4	4
20001001964	1001964	55	-1	0	0	0	0	8	1	-1	2	2	1	2	-1	5	1	4	-1	2	7	8	3	3	5	2
20001001971	1001971	46	-1	0	0	0	0	3	2	-1	5	1	3	2	-1	1	4	4	-1	4	4	4	7	7	1	2
20001001988	1001988	15	-1	0	0	0	0	2	2	-1	1	1	3	2	-1	5	1	7	-1	3	4	3	8	9	1	4
20001001995	1001995	34	-1	0	0	0	0	3	1	-1	1	1	1	2	-1	1	6	7	-1	5	2	3	9	8	1	2
20001002004	1002004	31	-1	0	1	0	0	7	2	-1	2	2	3	2	-1	8	3	5	-1	2	6	6	4	5	5	2
20001002011	1002011	26	-1	0	0	0	0	8	2	-1	2	2	1	2	-1	5	6	4	-1	5	5	8	7	4	5	2
20001002028	1002028	41	-1	0	0	0	0	9	1	-1	2	2	1	2	-1	5	6	6	-1	6	6	8	2	6	4	2
20001002035	1002035	31	-1	0	1	1	31	7	1	-1	2	2	1	2	-1	8	3	5	-1	2	6	7	5	7	5	2
20001002042	1002042	26	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	6	1	4	-1	4	6	4	9	9	1	2
20001002059	1002059	75	-1	0	1	0	0	4	2	-1	3	1	3	1	-1	1	6	8	-1	5	3	8	8	3	1	2
20001002066	1002066	23	-1	0	1	0	0	3	2	-1	1	4	3	2	-1	1	1	5	-1	4	3	8	9	7	1	2
20001002073	1002073	15	-1	0	0	0	0	3	2	-1	2	1	3	1	-1	1	1	7	-1	1	2	4	7	4	1	4
20001002080	1002080	46	-1	0	0	0	0	4	2	-1	1	1	3	1	-1	1	6	5	-1	6	2	2	7	8	1	2
20001002097	1002097	12	-1	0	0	0	0	7	1	-1	2	2	1	1	-1	7	6	5	-1	4	4	8	5	6	5	2
20001002103	1002103	38	-1	0	0	0	0	4	2	-1	2	2	3	1	-1	2	4	4	-1	4	4	8	8	4	1	2
20001002110	1002110	16	-1	0	0	0	0	3	2	-1	2	2	3	1	-1	2	6	6	-1	4	4	4	6	8	1	2
20001002127	1002127	50	-1	0	0	0	0	5	2	-1	2	2	3	1	-1	0	1	4	-1	5	2	3	4	9	1	4
20001002134	1002134	19	-1	0	0	0	0	3	2	-1	2	1	2	1	-1	5	4	6	-1	5	4	3	8	7	1	2
20001002141	1002141	51	-1	0	0	0	0	2	1	-1	1	1	3	2	-1	7	1	9	-1	5	3	3	9	9	1	2
20001002158	1002158	46	-1	0	0	0	0	4	2	-1	1	2	1	2	-1	6	1	5	-1	6	4	4	7	7	1	1
20001002165	1002165	8	-1	0	0	0	0	4	1	-1	2	2	3	2	-1	1	6	8	-1	4	2	2	9	7	1	2
20001002172	1002172	57	-1	0	0	0	0	6	2	-1	2	2	2	2	-1	2	6	5	-1	4	3	8	8	4	1	2
20001002189	1002189	38	-1	0	1	1	38	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0
20001002196	1002196	2	-1	0	1	0	0	2	2	-1	2	2	1	1	-1	6	6	4	-1	2	3	3	9	9	1	2
20001002202	1002202	18	-1	0	0	0	0	4	1	-1	1	1	3	2	-1	1	1	8	-1	2	2	4	9	7	1	2
20001002219	1002219	11	-1	0	0	0	0	3	1	-1	2	1	3	2	-1	1	1	4	-1	3	2	3	3	5	1	3
20001002226	1002226	47	-1	0	0	0	0	3	2	-1	2	4	3	2	-1	5	1	4	-1	4	3	3	2	3	2	2
20001002233	1002233	45	-1	0	0	0	0	6	2	-1	2	2	3	1	-1	2	7	2	-1	4	7	8	3	4	4	2
20001002240	1002240	46	-1	0	0	0	0	8	2	-1	2	2	4	2	-1	3	7	4	-1	4	3	3	2	3	5	2
20001002257	1002257	6	-1	0	0	0	0	2	1	-1	1	1	3	2	-1	2	1	6	-1	4	3	3	9	9	1	1
20001002264	1002264	11	-1	0	1	0	0	3	1	-1	2	1	3	1	-1	1	6	4	-1	4	3	8	6	7	2	2
20001002271	1002271	2	-1	0	1	1	2	4	2	-1	2	1	3	1	-1	2	1	3	-1	4	6	8	4	3	1	2
20001002288	1002288	12	-1	0	0	0	0	4	1	-1	2	1	3	1	-1	6	6	4	-1	4	4	6	7	3	2	2
20001002295	1002295	48	-1	0	0	0	0	2	2	-1	1	1	3	2	-1	1	6	0	-1	4	0	0	9	9	1	2
20001002301	1002301	21	-1	0	0	0	0	4	2	-1	2	2	3	1	-1	6	1	4	-1	4	4	4	3	5	1	1
20001002318	1002318	52	-1	0	0	0	0	2	2	-1	2	1	3	2	-1	6	2	3	-1	4	3	3	3	5	1	3
20001002325	1002325	14	-1	0	0	0	0	7	1	-1	2	2	1	1	-1	2	6	4	-1	4	7	8	2	3	5	2
20001002332	1002332	6	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0
20001002349	1002349	48	-1	0	0	0	0	3	1	-1	1	1	3	2	-1	5	6	7	-1	4	2	4	9	9	1	4
20001002356	1002356	44	-1	0	0	0	0	3	2	-1	1	1	3	2	-1	1	6	3	-1	3	2	8	9	5	1	4
20001002363	1002363	7	-1	0	0	0	0	7	2	-1	1	1	3	1	-1	8	3	5	-1	5	5	8	8	6	1	2
20001002370	1002370	41	-1	0	0	0	0	8	1	-1	2	2	1	1	-1	7	6	9	-1	5	0	6	6	4	5	4
20001002387	1002387	45	-1	0	0	0	0	7	2	-1	1	1	3	1	-1	7	1	8	-1	3	3	8	3	3	1	2
20001002394	1002394	43	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	5	3	5	-1	5	3	3	7	7	4	4
20001002400	1002400	27	-1	0	1	0	0	3	2	-1	1	1	3	1	-1	0	1	9	-1	4	2	2	9	9	1	2
20001002417	1002417	12	-1	0	0	0	0	3	2	-1	2	2	1	1	-1	2	1	4	-1	4	3	8	8	2	1	3
